State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
COLORADO,THORNTON,2015,"133,188",166,1,51,0,30,84,"2,176",303,"1,560",313,12
COLORADO,THORNTON,2016,"133,188",143,1,35,0,16,91,"1,997",259,"1,435",303,8
COLORADO,WESTMINSTER,2015,"113,547",135,1,28,0,20,86,"1,746",179,"1,337",230,3
COLORADO,WESTMINSTER,2016,"113,547",129,3,22,0,35,69,"1,920",176,"1,427",317,4
CONNECTICUT,BRIDGEPORT5,2015,"148,313",488,8,39,0,214,227,"1,506",385,882,239,6
CONNECTICUT,BRIDGEPORT5,2016,"148,313",472,2,28,0,188,254,0,292,0,270,4
CONNECTICUT,HARTFORD,2015,"124,553",698,15,15,0,253,415,"2,549",414,"1,749",386,27
CONNECTICUT,HARTFORD,2016,"124,553",613,10,28,0,202,373,"2,390",363,"1,661",366,55
CONNECTICUT,NEW HAVEN,2015,"130,403",582,6,28,0,224,324,"2,399",341,"1,759",299,10
CONNECTICUT,NEW HAVEN,2016,"130,403",594,5,35,0,188,366,"2,299",333,"1,652",314,13
CONNECTICUT,STAMFORD,2015,"129,682",128,2,8,0,39,79,798,96,624,78,1
CONNECTICUT,STAMFORD,2016,"129,682",153,0,17,0,54,82,851,121,657,73,1
CONNECTICUT,WATERBURY6,2015,"109,044",206,1,13,0,119,73,"2,093",203,"1,464",426,2
CONNECTICUT,WATERBURY6,2016,"109,044",267,3,14,0,110,140,"2,052",358,"1,393",301,13
FLORIDA,CAPE CORAL,2015,"173,844",114,0,6,0,22,86,"1,552",288,"1,197",67,2
FLORIDA,CAPE CORAL,2016,"173,844",103,4,7,0,19,73,"1,508",307,"1,111",90,2
FLORIDA,CLEARWATER,2015,"111,316",302,6,36,0,92,168,"2,188",306,"1,738",144,7
FLORIDA,CLEARWATER,2016,"111,316",336,1,40,0,69,226,"1,821",260,"1,463",98,6
FLORIDA,CORAL SPRINGS,2015,"129,631",105,0,17,0,34,54,"1,111",157,884,70,1
FLORIDA,CORAL SPRINGS,2016,"129,631",110,0,11,0,37,62,"1,205",104,"1,018",83,4
FLORIDA,DAVIE,2015,"100,612",120,1,14,0,33,72,"1,482",197,"1,153",132,5
FLORIDA,DAVIE,2016,"100,612",97,2,13,0,38,44,"1,431",160,"1,125",146,3
FLORIDA,FORT LAUDERDALE,2015,"178,598",692,4,68,0,200,420,"4,532",877,"3,266",389,13
FLORIDA,FORT LAUDERDALE,2016,"178,598",584,12,46,0,225,301,"5,366",941,"3,983",442,9
FLORIDA,GAINESVILLE,2015,"129,410",416,2,43,0,91,280,"2,108",265,"1,719",124,5
FLORIDA,GAINESVILLE,2016,"129,410",420,3,57,0,83,277,"2,379",307,"1,930",142,3
FLORIDA,HIALEAH,2015,"238,132",407,2,14,0,142,249,"2,769",340,"2,088",341,14
FLORIDA,HIALEAH,2016,"238,132",336,5,18,0,82,231,"2,812",255,"2,255",302,17
FLORIDA,HOLLYWOOD,2015,"149,822",353,6,34,0,131,182,"2,756",537,"1,958",261,1
FLORIDA,HOLLYWOOD,2016,"149,822",316,2,25,0,110,179,"2,372",358,"1,756",258,2
