,State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,MV Theft,Arson,Total
146,MICHIGAN,DETROIT,2015,673225,5794.0,135.0,270.0,1569.0,3820.0,13638.0,3276.0,6757.0,3605.0,399.0,39263.0
147,MICHIGAN,GRAND RAPIDS7,2015,195268,642.0,5.0,57.0,177.0,403.0,2082.0,438.0,1516.0,128.0,24.0,5472.0
148,MICHIGAN,LANSING,2015,114694,631.0,3.0,58.0,113.0,457.0,1543.0,407.0,978.0,158.0,10.0,4358.0
149,MICHIGAN,WARREN,2015,135367,380.0,2.0,61.0,67.0,250.0,1449.0,293.0,882.0,274.0,10.0,3668.0
150,MINNESOTA,MINNEAPOLIS,2015,413479,1964.0,20.0,186.0,797.0,961.0,7922.0,1614.0,5566.0,742.0,63.0,19835.0
151,MINNESOTA,ROCHESTER,2015,112542,86.0,0.0,24.0,18.0,44.0,1121.0,205.0,876.0,40.0,0.0,2414.0
152,MINNESOTA,ST. PAUL,2015,300721,975.0,2.0,86.0,289.0,598.0,4416.0,926.0,2712.0,778.0,53.0,10835.0
153,MISSISSIPPI,JACKSON,2015,170508,745.0,27.0,71.0,366.0,281.0,4117.0,1115.0,2504.0,498.0,51.0,9775.0
154,MISSOURI,COLUMBIA,2015,118911,274.0,1.0,44.0,66.0,163.0,1605.0,385.0,1135.0,85.0,5.0,3763.0
155,MISSOURI,INDEPENDENCE,2015,117639,216.0,1.0,28.0,56.0,131.0,2922.0,409.0,2073.0,440.0,7.0,6283.0
156,MISSOURI,KANSAS CITY,2015,473373,3053.0,37.0,179.0,704.0,2133.0,9912.0,2289.0,5832.0,1791.0,71.0,26001.0
157,MISSOURI,SPRINGFIELD,2015,166860,1063.0,7.0,128.0,212.0,716.0,5961.0,935.0,4438.0,588.0,30.0,14078.0
158,MISSOURI,ST. LOUIS,2015,317095,2813.0,92.0,127.0,832.0,1762.0,9608.0,1947.0,6031.0,1630.0,79.0,24921.0
159,MONTANA,BILLINGS,2015,109997,243.0,4.0,33.0,41.0,165.0,2404.0,299.0,1691.0,414.0,6.0,5300.0
160,NEBRASKA,LINCOLN,2015,276585,471.0,0.0,83.0,104.0,284.0,4226.0,625.0,3432.0,169.0,38.0,9432.0
161,NEBRASKA,OMAHA5,2015,452252,1213.0,26.0,100.0,329.0,758.0,7704.0,1079.0,5512.0,1113.0,37.0,17871.0
162,NEVADA,HENDERSON,2015,282554,224.0,2.0,45.0,84.0,93.0,2698.0,688.0,1744.0,266.0,7.0,5851.0
163,NEVADA,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,2015,1562134,6798.0,54.0,555.0,2326.0,3863.0,22760.0,7244.0,11959.0,3557.0,80.0,59196.0
164,NEVADA,NORTH LAS VEGAS,2015,234386,995.0,5.0,45.0,223.0,722.0,2614.0,897.0,1282.0,435.0,7.0,7225.0
165,NEVADA,RENO,2015,239721,618.0,9.0,67.0,145.0,397.0,3573.0,662.0,2460.0,451.0,9.0,8391.0
166,NEW HAMPSHIRE,MANCHESTER,2015,110661,323.0,2.0,37.0,112.0,172.0,2099.0,359.0,1640.0,100.0,13.0,4857.0
167,NEW JERSEY,EDISON TOWNSHIP,2015,102281,46.0,0.0,1.0,21.0,24.0,570.0,103.0,427.0,40.0,7.0,1239.0
168,NEW JERSEY,ELIZABETH,2015,129364,484.0,8.0,23.0,242.0,211.0,1744.0,325.0,1038.0,381.0,6.0,4462.0
169,NEW JERSEY,JERSEY CITY,2015,265159,636.0,8.0,51.0,253.0,324.0,1898.0,390.0,1237.0,271.0,35.0,5103.0
170,NEW JERSEY,PATERSON,2015,146588,465.0,7.0,18.0,206.0,234.0,1853.0,616.0,905.0,332.0,4.0,4640.0
171,NEW JERSEY,WOODBRIDGE TOWNSHIP,2015,100950,46.0,0.0,0.0,22.0,24.0,722.0,103.0,570.0,49.0,1.0,1537.0
172,NEW MEXICO,ALBUQUERQUE,2015,559721,2691.0,23.0,199.0,861.0,1608.0,15853.0,2903.0,10755.0,2195.0,46.0,37134.0
